Q7 - ranking de custo-beneficio por deputado
Resumo executivo
 ano_dados | deputados_com_gasto | media_beneficio | maior_beneficio 
-----------+---------------------+-----------------+-----------------
      2023 |                 561 |          455.69 |         4712.50
      2024 |                 575 |          254.29 |         6949.20
      2025 |                 562 |          391.08 |        12292.90
      2026 |                 552 |           96.45 |         2516.20
(4 rows)


Tabela principal - top 30 por custo-beneficio
 ano_dados | id_deputado |           nome           | sigla_uf | sigla_partido | gasto_total | qtd_proposicoes | proposicoes_aprovadas | presenca_total | beneficio |    custo_beneficio     
 GLOBAL    |      227275 | Mariana Carvalho                    | MA       | REPUBLICANOS  |   188355.18 |              31 |                     0 |             42 |      50.7 |     0.00026917231583437206
 GLOBAL    |      175765 | Ribamar Silva                       | SP       | PODE          |   619155.16 |              92 |                     0 |            283 |     166.3 |     0.00026859180177065794
 GLOBAL    |      220664 | Guilherme Uchoa                     | PE       | PSD           |  1715483.16 |             197 |                     3 |            561 |     459.6 |     0.00026791286018803006
 GLOBAL    |      220685 | Paulo Litro                         | PR       | UNIAO         |  1793235.17 |             253 |                     1 |            647 |     480.2 |     0.00026778417467687743
 GLOBAL    |      229082 | Lucyana Genésio                     | MA       | PDT           |   188221.02 |              30 |                     0 |             49 |      49.9 |     0.00026511385391493469
 GLOBAL    |      204391 | José Nelto                          | GO       | UNIAO         |  1590673.07 |             250 |                     0 |            429 |     417.9 |     0.00026271897593639402
 GLOBAL    |      235776 | Sérgio Turra                        | RS       | PP            |    53286.96 |               6 |                     0 |             49 |      13.9 |     0.00026085181064935962
 GLOBAL    |      220600 | Lebrão                              | RO       | UNIAO         |  1484839.30 |             237 |                     0 |            316 |     387.1 |     0.00026070161262568953
 GLOBAL    |      220696 | Ivoneide Caetano                    | BA       | PT            |  1699085.51 |             238 |                     1 |            474 |     440.4 |     0.00025919825541917546
 GLOBAL    |      215043 | Josivaldo JP                        | MA       | UNIAO         |  1627047.86 |             250 |                     0 |            452 |     420.2 |     0.00025825915163921484
 GLOBAL    |      220631 | Samuel Viana                        | MG       | UNIAO         |  1645724.16 |             245 |                     0 |            558 |     423.3 |     0.00025721199839467630
 GLOBAL    |      220681 | Fábio Macedo                        | MA       | PODE          |  1364053.73 |             190 |                     1 |            288 |     349.8 |     0.00025644151128856192
 GLOBAL    |      204539 | Hercílio Coelho Diniz               | MG       | MDB           |  1320195.22 |             167 |                     0 |            868 |     337.3 |     0.00025549251723544341
 GLOBAL    |      233598 | Samuel Santos                       | GO       | PODE          |   137787.62 |              19 |                     0 |             66 |      35.1 |     0.00025473986705046506
 GLOBAL    |      217480 | Jones Moura                         | RJ       | PSD           |   275949.59 |              41 |                     0 |             87 |      70.2 |     0.00025439428991360342
