idvotacao;deputado_id;voto;deputado_nome;deputado_siglapartido;deputado_siglauf
2162116-161;220668;Não;Maria Arraes;PSB;PE
2162116-161;74398;Não;Maria do Rosário;PT;RS
2162116-161;204540;Não;Maria Rosas;REPUBLICANOS;SP
2162116-161;220637;Não;Marina Silva;REDE;SP
2162116-161;178858;Não;Mário Negromonte Jr.;PSB;BA
2162116-161;220661;Não;Matheus Noronha;PL;CE
2162116-161;220609;Não;Maurício Carvalho;UNIÃO;RO
2162116-161;220628;Não;Mauricio do Vôlei;PL;MG
2162116-161;220550;Não;Mauricio Marcon;PL;RS
2162116-161;220647;Não;Mauricio Neves;PP;SP
2162116-161;204486;Não;Mauro Benevides Filho;PDT;CE
2162116-161;220607;Não;Max Lemos;PDT;RJ
2162116-161;220591;Não;Meire Serafim;UNIÃO;AC
2162116-161;74428;Não;Mendonça Filho;PL;PE
2162116-161;188097;Não;Merlong Solano;PT;PI
2162116-161;220585;Não;Mersinho Lucena;PSD;PB
2162116-161;171786;Não;Miguel Ângelo;PT;MG
2162116-161;154178;Não;Milton Vieira;REPUBLICANOS;SP
2162116-161;178895;Não;Misael Varella;PSD;MG
2162116-161;160561;Sim;Missionário José Olimpio;PL;SP
2162116-161;178997;Não;Moses Rodrigues;UNIÃO;CE
2162116-161;220617;Não;Murillo Gouvea;UNIÃO;RJ
2162116-161;220584;Não;Murilo Galdino;REPUBLICANOS;PB
2162116-161;220622;Não;Nely Aquino;PODE;MG
2162116-161;220703;Não;Neto Carletto;AVANTE;BA
2162116-161;204479;Sim;Nicoletti;PL;RR
2162116-161;209787;Não;Nikolas Ferreira;PL;MG
2162116-161;178986;Não;Nilto Tatto;PT;SP
2162116-161;74159;Não;Odair Cunha;PT;MG
2162116-161;204498;Não;Olival Marques;PODE;PA
2162116-161;73692;Não;Osmar Terra;PL;RS
2162116-161;160556;Não;Padre João;PT;MG
2162116-161;180214;Não;Pastor Diniz;UNIÃO;RR
2162116-161;160642;Não;Pastor Eurico;PL;PE
2162116-161;204570;Não;Pastor Gil;PL;MA
2162116-161;220615;Não;Pastor Henrique Vieira;PSOL;RJ
2162116-161;204553;Não;Pastor Sargento Isidório;AVANTE;BA
2162116-161;74160;Não;Patrus Ananias;PT;MG
2162116-161;171617;Não;Paulão;PT;AL
2162116-161;141516;Não;Paulo Abi-Ackel;PSDB;MG
2162116-161;220650;Não;Paulo Alexandre Barbosa;PSDB;SP
2162116-161;178860;Não;Paulo Azi;UNIÃO;BA
2162116-161;160517;Sim;Paulo Folletto;PSB;ES
2162116-161;160558;Não;Paulo Freire Costa;PL;SP
2162116-161;204492;Não;Paulo Guedes;PT;MG
2162116-161;233592;Não;Paulo Lemos;PSOL;AP
2162116-161;220685;Não;Paulo Litro;UNIÃO;PR
2162116-161;74574;Não;Paulo Magalhães;PSD;BA
2162116-161;128760;Não;Paulo Marinho Jr;PL;MA
2162116-161;74400;Não;Paulo Pimenta;PT;RS
2162116-161;141488;Não;Paulo Teixeira;PT;SP
2162116-161;220630;Não;Pedro Aihara;PRD;MG
2162116-161;220667;Não;Pedro Campos;PSB;PE
