idproposicao;uriproposicao;idautor;nomeautor;tipoautor;ordemassinatura;pesoautoria
2606412;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606412;74585;Lincoln Portela;Deputado(a);2;1
2606411;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606411;220613;Roberto Monteiro Pai;Deputado(a);1;1
2606410;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606410;220533;Prof. Reginaldo Veras;Deputado(a);1;1
2606409;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606409;220533;Prof. Reginaldo Veras;Deputado(a);1;1
2606408;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606408;204378;Coronel Chrisóstomo;Deputado(a);1;1
2606407;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606407;220554;Alexandre Lindenmeyer;Deputado(a);1;1
2606406;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606406;204460;Carlos Jordy;Deputado(a);1;1
2606406;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606406;205865;Reinhold Stephanes;Deputado(a);2;0
2606405;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606405;204426;Carlos Veras;Deputado(a);1;1
2606404;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606404;204426;Carlos Veras;Deputado(a);1;1
2606403;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606403;204372;Julio Cesar Ribeiro;Deputado(a);1;1
2606402;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2606402;178947;Sóstenes Cavalcante;Deputado(a);1;1
