 sigla_partido | votos_registrados | deputados_votantes | votacoes 
 AVANTE        | 32912023                      |          2
 AVANTE        | instituições                  |          2
 AVANTE        | instituir                     |          2
 AVANTE        | instruir                      |          2
 AVANTE        | consultor                     |          2
 AVANTE        | integrantes                   |          2
 AVANTE        | inteligência                  |          2
 AVANTE        | intermédio                    |          2
 AVANTE        | internacional                 |          2
 AVANTE        | internet                      |          2
 AVANTE        | intimação                     |          2
 AVANTE        | ação                          |          2
 AVANTE        | contratos                     |          2
 AVANTE        | contribuir                    |          2
 AVANTE        | juiz                          |          2
 AVANTE        | convocação                    |          2
 AVANTE        | assistencial                  |          2
 AVANTE        | justa                         |          2
 AVANTE        | assistiva                     |          2
 AVANTE        | cota                          |          2
 AVANTE        | leis                          |          2
 AVANTE        | lesão                         |          2
 AVANTE        | liberdade                     |          2
 AVANTE        | cristã                        |          2
 AVANTE        | atraso                        |          2
 AVANTE        | adct                          |          2
 AVANTE        | cultura                       |          2
 AVANTE        | cultural                      |          2
 AVANTE        | adequação                     |          2
 AVANTE        | março                         |          2
 AVANTE        | audiovisual                   |          2
 AVANTE        | masculino                     |          2
 AVANTE        | mdbma                         |          2
 AVANTE        | aula                          |          2
 AVANTE        | aumenta                       |          2
 AVANTE        | médico                        |          2
 AVANTE        | mensagens                     |          2
 AVANTE        | 43282024                      |          2
 AVANTE        | demais                        |          2
 AVANTE        | demissão                      |          2
 AVANTE        | militar                       |          2
 AVANTE        | autista                       |          2
 AVANTE        | ministro                      |          2
 AVANTE        | dentre                        |          2
 AVANTE        | mobilidade                    |          2
 AVANTE        | monitoramento                 |          2
 AVANTE        | motorista                     |          2
 AVANTE        | mpv                           |          2
 AVANTE        | muito                         |          2
 AVANTE        | multiprofissional             |          2
 AVANTE        | admitir                       |          2
 AVANTE        | nacionais                     |          2
 AVANTE        | natural                       |          2
 AVANTE        | descumprimento                |          2
 AVANTE        | neto                          |          2
 AVANTE        | nortesul                      |          2
 AVANTE        | nºs                           |          2
 AVANTE        | notável                       |          2
 AVANTE        | nova                          |          2
 AVANTE        | 11340                         |          2
 AVANTE        | novembro                      |          2
 AVANTE        | novos                         |          2
 AVANTE        | 13954                         |          2
 AVANTE        | determina                     |          2
 AVANTE        | oab                           |          2
 AVANTE        | objetivo                      |          2
 AVANTE        | obra                          |          2
 AVANTE        | obter                         |          2
 AVANTE        | ocasião                       |          2
 AVANTE        | ocorrida                      |          2
 AVANTE        | ocupacional                   |          2
 AVANTE        | deus                          |          2
 AVANTE        | devedor                       |          2
 AVANTE        | dever                         |          2
 AVANTE        | deveres                       |          2
 AVANTE        | orçamento                     |          2
 AVANTE        | orelha                        |          2
 AVANTE        | 22002019                      |          2
 AVANTE        | didáticos                     |          2
 AVANTE        | pagamento                     |          2
 AVANTE        | aviso                         |          2
 AVANTE        | parágrafo                     |          2
 AVANTE        | bahia                         |          2
 AVANTE        | participação                  |          2
 AVANTE        | passagem                      |          2
 AVANTE        | pasta                         |          2
 AVANTE        | baianos                       |          2
 AVANTE        | pedagógico                    |          2
 AVANTE        | pelas                         |          2
 AVANTE        | pensão                        |          2
 AVANTE        | 5702025                       |          2
 AVANTE        | distribuição                  |          2
 AVANTE        | petróleo                      |          2
 AVANTE        | doméstico                     |          2
 AVANTE        | domiciliar                    |          2
 AVANTE        | agência                       |          2
 AVANTE        | drogas                        |          2
 AVANTE        | pmba                          |          2
 AVANTE        | durante                       |          2
 AVANTE        | benefício                     |          2
 AVANTE        | economia                      |          2
 AVANTE        | polilaminina                  |          2
 AVANTE        | políticas                     |          2
 AVANTE        | edilício                      |          2
 AVANTE        | agosto                        |          2
 AVANTE        | biocombustíveis               |          2
 AVANTE        | agressão                      |          2
 AVANTE        | preferencial                  |          2
 AVANTE        | eleição                       |          2
 AVANTE        | presença                      |          2
 AVANTE        | presidente                    |          2
 AVANTE        | prestada                      |          2
 AVANTE        | prestados                     |          2
 AVANTE        | eleitorais                    |          2
 AVANTE        | 1998                          |          2
 AVANTE        | princípio                     |          2
 AVANTE        | privadas                      |          2
 AVANTE        | 1852024                       |          2
 AVANTE        | brasileira                    |          2
 AVANTE        | brasileiro                    |          2
 AVANTE        | 60182025                      |          2
 AVANTE        | bruno                         |          2
 AVANTE        | cachorro                      |          2
 AVANTE        | cadastro                      |          2
 AVANTE        | ente                          |          2
 AVANTE        | entidade                      |          2
 AVANTE        | propagação                    |          2
 AVANTE        | 10406                         |          2
 AVANTE        | envolveram                    |          2
 AVANTE        | episódios                     |          2
 AVANTE        | protocolo                     |          2
 AVANTE        | protocolos                    |          2
 AVANTE        | psicologia                    |          2
 AVANTE        | qualificação                  |          2
 AVANTE        | cantora                       |          2
 AVANTE        | racismo                       |          2
 AVANTE        | rateio                        |          2
 AVANTE        | altas                         |          2
 AVANTE        | reabilitação                  |          2
 AVANTE        | receitas                      |          2
 AVANTE        | espectro                      |          2
 AVANTE        | esporte                       |          2
 AVANTE        | recurso                       |          2
 AVANTE        | estados                       |          2
 AVANTE        | redes                         |          2
 AVANTE        | reduzida                      |          2
 AVANTE        | reduzir                       |          2
 AVANTE        | referidas                     |          2
 AVANTE        | estudantil                    |          2
 AVANTE        | carletto                      |          2
 AVANTE        | regulamentação                |          2
 AVANTE        | relevantes                    |          2
 AVANTE        | carteira                      |          2
 AVANTE        | caso                          |          2
 AVANTE        | cassação                      |          2
 AVANTE        | catarina                      |          2
 AVANTE        | alvará                        |          2
 AVANTE        | reprodução                    |          2
 AVANTE        | exclusividade                 |          2
 AVANTE        | causa                         |          2
 AVANTE        | existência                    |          2
 AVANTE        | restrição                     |          2
 AVANTE        | ambiente                      |          2
 AVANTE        | revenda                       |          2
 AVANTE        | 667                           |          2
 AVANTE        | rua                           |          2
 AVANTE        | sala                          |          2
 AVANTE        | ameaça                        |          2
 AVANTE        | sanções                       |          2
 AVANTE        | face                          |          2
 AVANTE        | celebrar                      |          2
