Q11 complemento - nuvem de palavras completa por partido
 ano_dados | sigla_partido |                      token                       | frequencia 
      2023 | AVANTE        | fomento                                          |          7
      2023 | AVANTE        | junho                                            |          7
      2023 | AVANTE        | feminino                                         |          7
      2023 | AVANTE        | comunitárias                                     |          7
      2023 | AVANTE        | religiosas                                       |          7
      2023 | AVANTE        | penha                                            |          7
      2023 | AVANTE        | atos                                             |          7
      2023 | AVANTE        | raras                                            |          7
      2023 | AVANTE        | criar                                            |          7
      2023 | AVANTE        | fortalecer                                       |          7
      2023 | AVANTE        | sob                                              |          7
      2023 | AVANTE        | disposto                                         |          7
      2023 | AVANTE        | filantrópicas                                    |          7
      2023 | AVANTE        | casa                                             |          7
      2023 | AVANTE        | abuso                                            |          7
      2023 | AVANTE        | futebol                                          |          7
      2023 | AVANTE        | drogas                                           |          7
      2023 | AVANTE        | objetivo                                         |          7
      2023 | AVANTE        | tribunal                                         |          7
      2023 | AVANTE        | típica                                           |          7
      2023 | AVANTE        | aplauso                                          |          7
      2023 | AVANTE        | legal                                            |          7
      2023 | AVANTE        | mobilidade                                       |          7
      2023 | AVANTE        | produtor                                         |          7
      2023 | AVANTE        | mérito                                           |          7
      2023 | AVANTE        | fundiária                                        |          7
      2023 | AVANTE        | econômico                                        |          7
      2023 | AVANTE        | câncer                                           |          7
      2023 | AVANTE        | hospitais                                        |          7
      2023 | AVANTE        | pequenos                                         |          7
      2023 | AVANTE        | todo                                             |          7
      2023 | AVANTE        | tema                                             |          7
      2023 | AVANTE        | requeremos                                       |          7
      2023 | AVANTE        | orçamentária                                     |          7
      2023 | AVANTE        | fiscal                                           |          7
      2023 | AVANTE        | leite                                            |          7
      2023 | AVANTE        | adesão                                           |          7
      2023 | AVANTE        | políticas                                        |          7
      2023 | AVANTE        | carreira                                         |          7
      2023 | AVANTE        | maria                                            |          7
      2023 | AVANTE        | trabalhador                                      |          7
      2023 | AVANTE        | cota                                             |          7
      2023 | AVANTE        | rgps                                             |          7
      2023 | AVANTE        | vacina                                           |          7
      2023 | AVANTE        | custeio                                          |          7
      2023 | AVANTE        | salarial                                         |          7
      2023 | AVANTE        | recriação                                        |          7
      2023 | AVANTE        | internet                                         |          7
      2023 | AVANTE        | aprimoramento                                    |          7
      2023 | AVANTE        | país                                             |          7
      2023 | AVANTE        | meio                                             |          7
      2023 | AVANTE        | desoneração                                      |          7
      2023 | AVANTE        | movimentação                                     |          7
      2023 | AVANTE        | emendas                                          |          7
      2023 | AVANTE        | saneamento                                       |          7
      2023 | AVANTE        | crimes                                           |          7
      2023 | AVANTE        | organizações                                     |          7
      2023 | AVANTE        | casos                                            |          6
      2023 | AVANTE        | minha                                            |          6
      2023 | AVANTE        | mineração                                        |          6
      2023 | AVANTE        | micro                                            |          6
