deputy_id;name;party;valid_votes;missing_votes;kept_after_filter;reason_if_removed
204508;Igor Timo;PSD;824;0;True;
204511;David Soares;UNIAO;548;17;True;
204512;Delegado Marcelo Freitas;UNIAO;1075;0;True;
204514;Coronel Tadeu;PL;57;0;True;
204515;André Janones;REDE;802;0;True;
204517;Zé Vitor;PL;378;22;True;
204518;Dr. Frederico;PRD;723;0;True;
204520;Junio Amaral;PL;741;35;True;
204522;Marco Bertaiolli;PSD;103;0;True;
204524;Pinheirinho;PP;375;1;True;
204525;Rosana Valle;PL;819;58;True;
204526;Luiz Philippe de Orleans e Bragança;PL;834;50;True;
204528;Adriana Ventura;NOVO;838;106;True;
204531;Guilherme Derrite;PP;99;0;True;
204533;Idilvan Alencar;PSB;512;0;True;
204534;Tabata Amaral;PSB;930;1;True;
204535;Sâmia Bomfim;PSOL;849;33;True;
204536;Kim Kataguiri;MISSAO;913;7;True;
204539;Hercílio Coelho Diniz;MDB;684;0;True;
204540;Maria Rosas;REPUBLICANOS;890;0;True;
204541;Eduardo Bismarck;PV;480;2;True;
204549;AJ Albuquerque;PP;701;3;True;
204550;Júnior Mano;PSB;391;5;True;
204553;Pastor Sargento Isidório;AVANTE;919;7;True;
204557;Sidney Leite;PSD;819;11;True;
204558;Marcelo Nilo;REPUBLICANOS;31;0;True;
204559;Zé Neto;PT;709;9;True;
204560;Adolfo Viana;PSDB;578;0;True;
204563;Josimar Maranhãozinho;PL;474;12;True;
204566;Marreca Filho;PRD;547;3;True;
204567;Raimundo Costa;PODE;690;1;True;
204570;Pastor Gil;PL;633;13;True;
204571;Alex Santana;REPUBLICANOS;591;4;True;
204572;Capitão Alberto Neto;PL;873;57;True;
204573;Otto Alencar Filho;PSD;715;0;True;
204574;Junior Lourenço;PL;531;0;True;
205476;Charles Fernandes;PSD;814;7;True;
205550;Jorge Braz;REPUBLICANOS;920;0;True;
205865;Reinhold Stephanes;PSD;727;2;True;
206018;Célia Xakriabá;PSOL;780;4;True;
208297;Katia Dias;REPUBLICANOS;106;0;True;
209189;Joseildo Ramos;PT;816;4;True;
209787;Nikolas Ferreira;PL;917;63;True;
210989;Bruno Farias;REPUBLICANOS;771;5;True;
212625;Dr. Gonçalo;PODE;57;0;True;
213274;Ricardo Silva;PSD;267;0;True;
213762;Carla Dickson;UNIAO;445;0;True;
214694;Jorge Goetten;REPUBLICANOS;823;26;True;
215043;Josivaldo JP;PSD;752;3;True;
217480;Jones Moura;PSD;135;2;True;
218086;Ely Santos;REPUBLICANOS;826;2;True;
219585;Marco Brasil;PP;461;1;True;
220008;Eliza Virgínia;PP;67;5;True;
220526;Gilvan da Federal;PL;721;76;True;
220527;Jack Rocha;PT;937;5;True;
220528;Dr. Victor Linhalis;PODE;823;0;True;
220529;Gilson Daniel;PODE;1006;1;True;
220530;Messias Donato;REPUBLICANOS;931;2;True;
220531;Gilvan Maximo;REPUBLICANOS;563;0;True;
220532;Rafael Prudente;MDB;726;4;True;
220533;Prof. Reginaldo Veras;PV;895;0;True;
220534;Fred Linhares;REPUBLICANOS;869;0;True;
220536;Zé Haroldo Cathedral;PSD;965;1;True;
220537;Helena Lima;MDB;596;3;True;
220538;Albuquerque;REPUBLICANOS;829;0;True;
220539;Defensor Stélio Dener;UNIAO;995;0;True;
220540;Duda Ramos;MDB;644;0;True;
220542;Alexandre Guimarães;MDB;740;0;True;
220543;Ricardo Ayres;REPUBLICANOS;1130;0;True;
220544;Antonio Andrade;REPUBLICANOS;934;3;True;
220545;Filipe Martins;PL;849;70;True;
220546;Rodolfo Nogueira;PL;932;79;True;
220547;Marcos Pollon;PL;1031;60;True;
220548;Camila Jara;PT;844;3;True;
220549;Any Ortiz;CIDADANIA;864;0;True;
220550;Mauricio Marcon;PL;1046;3;True;
220551;Franciane Bayer;REPUBLICANOS;905;0;True;
220552;Zucco;PL;1054;24;True;
220553;Denise Pessôa;PT;887;4;True;
220554;Alexandre Lindenmeyer;PT;785;3;True;
220555;Daiana Santos;PCDOB;828;2;True;
220556;Ana Paula Lima;PT;883;3;True;
220557;Daniela Reinehr;PL;795;62;True;
220558;Zé Trovão;PL;851;66;True;
220559;Julia Zanatta;PL;899;56;True;
220560;Thiago de Joaldo;PP;745;1;True;
220561;Delegada Katarina;PSD;943;5;True;
220563;Icaro de Valmir;PL;775;6;True;
220564;Yandra Moura;UNIAO;601;0;True;
220565;Delegada Adriana Accorsi;PT;729;1;True;
220566;Lêda Borges;PSDB;691;2;True;
220567;Jeferson Rodrigues;REPUBLICANOS;717;1;True;
220568;Gustavo Gayer;PL;836;61;True;
220569;Silvye Alves;UNIAO;757;0;True;
220570;Dr. Ismael Alexandrino;PSD;724;2;True;
220571;Daniel Agrobom;PL;955;25;True;
220572;Marussa Boldrin;MDB;563;0;True;
220573;Dorinaldo Malafaia;PDT;759;3;True;
220574;Cabo Gilberto Silva;PL;953;57;True;
220575;Sonize Barbosa;PL;344;54;True;
220576;Alfredo Gaspar;PL;1014;3;True;
220577;Augusto Puppio;MDB;606;0;True;
220578;Josenildo;PDT;972;2;True;
220579;Silvia Waiãpi;PL;464;53;True;
220580;Professora Goreth;PDT;486;0;True;
220581;Luciano Amaral;PSD;900;0;True;
220582;Daniel Barbosa;PP;716;1;True;
220583;Delegado Fabio Costa;PP;994;1;True;
220584;Murilo Galdino;REPUBLICANOS;849;0;True;
220585;Mersinho Lucena;PSD;691;0;True;
220586;Rafael Brito;MDB;821;1;True;
220587;Gerlen Diniz;PP;528;0;True;
220588;Roberto Duarte;REPUBLICANOS;1196;0;True;
220589;Eduardo Velloso;SOLIDARIEDADE;752;4;True;
220590;Coronel Ulysses;UNIAO;894;0;True;
220591;Meire Serafim;UNIAO;813;1;True;
220592;Zezinho Barbary;PP;777;0;True;
